CLOSING PRICE HISTORICAL DATA FOR NIFTY 50 STOCKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
27-7-22,2548.699951,760.650024,4125.600098,3186.050049,718.950012,3883.850098,6396.350098,1330.704956,324.600006,674.900024,3854.550049,974.049988,203.449997,3786.449951,4286.049805,3057.399902,1546.849976,928.450012,1404.400024,521.25,2782.550049,388.649994,2581.949951,2313.350098,800.5,304.149994,979.799988,1471.050049,602.700012,1754.099976,1796.650024,1138.099976,8658.099609,149.699997,18541.90039,128.600006,210.649994,2419.199951,1149.349976,528.200012,894,3188.850098,801.599976,444.049988,95.940002,1007.650024,2303.550049,721.599976,6535.350098,406.649994
28-7-22,2550.399902,764.5,4190.5,3272.399902,725.900024,3858.25,7076.600098,1464.204956,326.049988,666.849976,3869.350098,967.450012,202.850006,3849.649902,4260.049805,3054,1550.599976,946.099976,1416.849976,531.599976,2780.699951,392.399994,2620.100098,2337.550049,814.599976,303.450012,1017.700012,1517.400024,616.700012,1828.5,1801.25,1149.150024,8721.049805,150.350006,19112.40039,130.25,214.199997,2457.100098,1191.449951,532.450012,894.849976,3260.5,806.599976,442.25,100.349998,1038,2334.649902,727.700012,6471.25,416
29-7-22,2569.199951,763.700012,4212.299805,3333.75,724.75,3914.449951,7209.100098,1504.76001,330.299988,677.950012,3900.399902,977.400024,211.25,3831.649902,4090.350098,3093.449951,1573,948.400024,1434.199951,555.5,2818.050049,415.049988,2637.399902,2377.800049,818.599976,303.049988,1043.5,1549.699951,629.599976,1810.349976,1808.050049,1164.449951,8773.549805,152.949997,19359.09961,134.149994,213.949997,2509.449951,1294.400024,528.349976,943.200012,3301.899902,811.650024,449.600006,107.599998,1048.650024,2352.050049,741.099976,6544.799805,423.700012
1-8-22,2660.149902,801.25,4288.100098,3324.550049,730.799988,3973.300049,7261,1507.310059,334.149994,694.450012,3855.649902,1004.549988,212.75,3795.199951,4110.450195,3088.399902,1568.400024,952.150024,1446.150024,546.049988,2840.800049,424,2593,2383.75,823.400024,307.5,1040.150024,1551.050049,639.200012,1855.75,1814.699951,1237.75,9003.400391,156.5,19255.19922,138.399994,218.949997,2574.850098,1313.300049,533.75,918.700012,3298.800049,811.099976,479.200012,108.25,1049.599976,2376.25,767.349976,6657.649902,429
2-8-22,2683.649902,802.299988,4325.899902,3396.149902,730.450012,3996.199951,7341.899902,1522.415039,335.149994,686.799988,3788.149902,1004.200012,215.25,3824.899902,4085.399902,3120.949951,1589.849976,951.049988,1430.25,538.5,2771.449951,418.399994,2635.25,2353.300049,817.75,309.950012,1067.25,1543.599976,648.700012,1884.599976,1793.050049,1254.5,9173.049805,159.550003,19458.80078,136.699997,222.600006,2584.649902,1285.199951,542.099976,917.25,3291.800049,811.599976,476.25,107,1032.599976,2384.949951,739.599976,6651.299805,429.600006
3-8-22,2711.399902,807.200012,4310.049805,3439.649902,730.5,4003.449951,7296.350098,1524.390015,333.899994,693.150024,3770,1011.849976,212.100006,3820.850098,4096.299805,3138.199951,1586.849976,957.200012,1433.599976,535.349976,2801.899902,414.25,2626.350098,2368.399902,824.799988,308.149994,1058.300049,1566.099976,652.799988,1851.099976,1789.800049,1253.699951,8959.450195,159.649994,19365.90039,135.649994,223.600006,2606.350098,1283.550049,540.849976,897,3339.5,812.75,467.799988,107.050003,1052.650024,2416.399902,731.349976,6602.700195,432.350006
4-8-22,2723.600098,807.25,4395.799805,3460.5,721.599976,4011.699951,7316.649902,1518.530029,333.950012,694.299988,3775.050049,1044.5,207.149994,3888.149902,4147.950195,3145.800049,1579.349976,958.099976,1431.900024,534.900024,2807,421.700012,2627.949951,2361.75,820.25,309.5,1050.199951,1599.900024,664.349976,1835.550049,1780.099976,1261.800049,8966.700195,154.699997,19850,136.25,220.800003,2571.899902,1278.800049,533.25,918.5,3354.949951,789.25,468.899994,107.699997,1056.050049,2423.649902,731.75,6588.049805,435.5
5-8-22,2698.399902,810.25,4374.100098,3473.899902,728.5,4013.100098,7304.700195,1508.584961,336.399994,703.650024,3688.100098,1034.199951,208.449997,3912.199951,4156.850098,3089.600098,1598.300049,957.75,1427.050049,539.25,2770.699951,410.799988,2645.399902,2355.199951,838.200012,310.850006,1036.300049,1616.650024,667.150024,1833.900024,1787.449951,1235.900024,8841.200195,155.600006,19921.5,136.5,223.649994,2534,1266.650024,531.049988,915.950012,3365.050049,784.799988,465.25,107.349998,1058.199951,2432.800049,743.450012,6775.200195,440
8-8-22,2791.899902,801.650024,4427.350098,3458.449951,745.549988,4022.649902,7342.200195,1553.064941,325.649994,704.349976,3631.399902,1029.550049,215.399994,3937.600098,4223.350098,3116.75,1598.650024,966.049988,1462.050049,536.75,2738.050049,421.399994,2650.350098,2393.699951,836.950012,313.149994,1050.199951,1619.400024,669.200012,1844.5,1829.650024,1276.699951,8921.950195,159.399994,19652.94922,136.5,221.899994,2567.149902,1269.900024,520.400024,910.400024,3374.449951,788.700012,468.25,107.199997,1056.599976,2446.949951,749.150024,6677.850098,435.850006
10-8-22,2827.199951,790.549988,4517.149902,3411.649902,739,4034.850098,7149.399902,1564.319946,328.299988,715.25,3647.75,1038.349976,219.850006,3948.800049,4243.299805,3154.550049,1610.900024,952.049988,1466.300049,540.900024,2775.449951,440.100006,2642.800049,2398.300049,848.75,311.200012,1063.099976,1602.449951,670.099976,1828.349976,1855.150024,1268.050049,8879.700195,155.75,19769.5,133.800003,223.5,2582.5,1273.199951,514.700012,919.700012,3354.25,790.549988,475.549988,109.199997,1055.199951,2433.600098,765.299988,6595.649902,430.149994
11-8-22,2834.050049,792.75,4429.649902,3405.199951,758.849976,4033.5,7318.950195,1573.694946,328.350006,709.799988,3640.300049,1038.400024,218.600006,3948.050049,4258.299805,3176.449951,1600.050049,962.349976,1485.699951,541.549988,2785.300049,433.5,2613.699951,2454.850098,859.700012,306.25,1079.199951,1619.949951,673.599976,1853.5,1867.150024,1266.199951,8813.849609,153.649994,19679.59961,132.800003,222.850006,2591.100098,1261.5,524.75,921.049988,3422.5,773.450012,476.649994,109.099998,1077.25,2472.350098,767.5,6597.100098,438.450012
12-8-22,2864.550049,788.349976,4312.75,3427.850098,760.549988,4038,7309.399902,1576.545044,333.899994,709.700012,3659.75,1027.150024,221.649994,3726.199951,4260.799805,3210.149902,1622.599976,956.400024,1485.150024,544.950012,2761.899902,436.25,2594.949951,2456.399902,874.400024,308.549988,1080.449951,1594.099976,678.200012,1841.199951,1846.449951,1259.449951,8699.200195,158.5,19543.25,139.199997,228.050003,2633,1286.550049,530.700012,913.450012,3401.550049,763.450012,477.549988,112.650002,1065.900024,2471.949951,788.900024,6559.299805,436.100006
16-8-22,2975.850098,824.150024,4349.399902,3501,764.650024,4091.149902,7286.100098,1591.574951,345.899994,704.099976,3690.449951,1034.550049,222.899994,3732,4297.799805,3338.050049,1591.550049,958.200012,1502.150024,570.599976,2817,428.899994,2644.5,2484.149902,879.25,310.549988,1084.449951,1596.449951,673.849976,1846.349976,1848.900024,1288.300049,9003.700195,158.75,19682.94922,139.949997,228.850006,2651.300049,1309.599976,525.950012,914.599976,3392.699951,779.5,489.850006,113,1077.699951,2493.850098,788.549988,6656,437.100006
17-8-22,3008.649902,824.75,4305.75,3523.699951,772.099976,4067.899902,7527.100098,1684.030029,353.149994,722.950012,3705.199951,1025.75,221.449997,3748.399902,4315.899902,3397.600098,1616.550049,980.599976,1509.900024,589.349976,2913.449951,438.950012,2684.649902,2491.600098,883.25,312.549988,1088.599976,1606.25,672.599976,1839.699951,1855.699951,1274.25,8944.349609,161.449997,19735.30078,139.649994,228.5,2665.149902,1305.349976,528.150024,920.799988,3401.100098,793.5,485.399994,112.5,1104.5,2492.199951,790.5,6609.850098,443.049988
18-8-22,3153.649902,833.049988,4266.649902,3535.350098,765.049988,4060.649902,7488.25,1680.589966,347.049988,733.200012,3693.050049,1032.199951,221.75,3743.600098,4225.100098,3411.399902,1613.75,973.5,1511.699951,586.75,2908.199951,438.049988,2682.050049,2497.949951,885.099976,315.649994,1105.099976,1582.949951,673.400024,1904.5,1894.550049,1261.150024,8947.700195,160.800003,19557.65039,135.550003,231.350006,2661.300049,1324.199951,532.349976,916.75,3381.25,807.849976,484.799988,112.550003,1105.150024,2478.699951,773.950012,6703.950195,435.049988
19-8-22,3130.199951,871.799988,4135.350098,3482.550049,757.5,4074.550049,7301.700195,1628.76001,338.25,732.299988,3662.550049,1030.099976,217.149994,3696.199951,4204,3424.100098,1605.849976,970.049988,1493.050049,576.650024,2838.649902,427.350006,2634.550049,2468.050049,870.400024,312,1063.300049,1597.099976,664.549988,1877,1936.050049,1239.400024,8778.950195,157.75,19440.90039,134.600006,228.149994,2613.850098,1296.949951,520.349976,901.349976,3385.75,786.950012,471,110.050003,1104.150024,2440.600098,768.25,6647.549805,432.450012
22-8-22,3051.600098,840.25,4024.899902,3349.75,741.849976,4041.600098,7102.200195,1587.170044,333.649994,727.599976,3676.449951,1022.549988,218.300003,3580.649902,4186.950195,3363.25,1564.099976,959.450012,1470.349976,566.650024,2780.550049,418.5,2626.699951,2423.199951,852.25,314.399994,1057.199951,1575.650024,642.950012,1832.050049,1880.650024,1226.699951,8628,156.5,19452.19922,131.899994,225.949997,2606.600098,1276,511.299988,880.549988,3354.550049,793.950012,454.600006,105.050003,1078.699951,2417.600098,744.700012,6467.5,420
23-8-22,3030.649902,832.5,4070.949951,3356.600098,747.049988,4064.449951,7207.700195,1630.390015,333.700012,737.599976,3678.699951,1040.650024,222.850006,3532.300049,4225.149902,3464.75,1595.449951,946.900024,1465.800049,565.849976,2803.399902,427.899994,2592.75,2420.75,863.900024,315.899994,1071.050049,1542.400024,652.849976,1855.75,1877.050049,1273.099976,8720.5,158.649994,19625.65039,133.75,227.550003,2646.800049,1279.25,521.900024,888.400024,3284.600098,809.349976,460.450012,107.599998,1065.900024,2480.199951,759.549988,6495.399902,416.649994
24-8-22,3134.649902,836.299988,4210.75,3378.850098,750.150024,4065.75,7176.899902,1633.38501,329.549988,738.75,3659.149902,1037.349976,223.649994,3496.649902,4218.049805,3450.699951,1612.25,949.150024,1472.849976,566.650024,2806.350098,428.850006,2588.25,2438.5,873.299988,314.100006,1101.900024,1537.5,651.5,1867.599976,1893.349976,1268.300049,8704,160.800003,19671.05078,136,229.449997,2639.75,1287.5,519.299988,881,3255.350098,805.700012,463.200012,106.550003,1070.949951,2460.699951,759.75,6508.350098,416.149994
25-8-22,3066.350098,816,4168.799805,3362.5,743.349976,4062.949951,7047.149902,1624.630005,329.799988,741,3646.600098,1025.75,224.899994,3535.850098,4237.899902,3481.449951,1624.849976,943.799988,1464.849976,571.049988,2799.800049,432.75,2574.199951,2419.75,872.349976,312.350006,1089.949951,1518.150024,648.700012,1868.75,1877.900024,1259.650024,8735.900391,158.899994,19526.65039,136.550003,226.300003,2632.050049,1297,520.400024,877.299988,3218.199951,801.849976,459.200012,106.25,1070.599976,2466.449951,762.650024,6475.049805,415.200012
26-8-22,3139.550049,837.700012,4215.25,3323.550049,744.900024,4054.399902,7062.100098,1628.599976,329.100006,730.849976,3650.149902,1020.799988,229.949997,3587.5,4223.299805,3355.100098,1675.25,945.650024,1465.099976,566.900024,2826.75,440.049988,2571.550049,2396.699951,870.849976,312.899994,1069.75,1521.550049,667,1902.050049,1905.400024,1274.650024,8720.599609,163.399994,19528.09961,136.649994,230.449997,2618,1313.699951,523.799988,880.150024,3222.199951,801.950012,465.049988,107.349998,1085.550049,2532.899902,760,6517.149902,417.25
29-8-22,3142.600098,836.400024,4251.5,3343.25,728.700012,4030.050049,6964.350098,1608.640015,326.200012,720.599976,3707.649902,1017.299988,230.600006,3582.449951,4210.149902,3291.600098,1664.050049,917.5,1439.400024,560.950012,2827.050049,430.200012,2575.800049,2366,855.849976,313.549988,1059.199951,1461.75,649.599976,1850,1881.5,1276.800049,8834.200195,160.949997,19646.34961,135.899994,227.050003,2597.649902,1298.199951,514.849976,879.25,3132.550049,806.150024,453.350006,104.849998,1035.550049,2531.699951,750.450012,6506.299805,404.350006
30-8-22,3194.350098,842.150024,4322.899902,3391.600098,751.5,4084.850098,7306.25,1696.214966,328.649994,726.599976,3747.75,1038.449951,234.800003,3626.850098,4245.049805,3358.75,1678.650024,938.950012,1486.099976,575.200012,2837.699951,439,2659.850098,2446.399902,887.299988,320.5,1107.449951,1492.949951,666.900024,1915.449951,1922.5,1308.699951,9082.25,164,19925.84961,138.600006,229.600006,2637.949951,1329.099976,531.25,893.049988,3211.149902,809.650024,471.100006,108.300003,1076.099976,2604.649902,769.25,6677.850098,413.549988
1-9-22,3233.25,837.799988,4277.149902,3446.550049,744.150024,4076.300049,7181.299805,1740.640015,331.350006,735.049988,3718.149902,1023,230.300003,3599.199951,4202.100098,3411.600098,1685,926.049988,1472.150024,575.599976,2876.649902,421.950012,2606,2404.199951,874.349976,317.600006,1111.400024,1464.199951,661.599976,1902.849976,1912.949951,1312.050049,9024.5,160.699997,19732.94922,134.699997,226.100006,2560.399902,1296.550049,533.299988,871.849976,3131.699951,838.400024,466.899994,106.400002,1052.900024,2622,756.450012,6632.5,410.450012
2-9-22,3355.800049,851.950012,4312.350098,3431.050049,750.200012,4030.899902,7190.350098,1732.925049,321.950012,735,3704.25,1015.599976,229.300003,3598.149902,4189.950195,3422.100098,1687.900024,924.450012,1485.5,574.849976,2825.149902,414.899994,2603.600098,2444.350098,872.400024,323.149994,1100.75,1453,661.400024,1918.849976,1940.5,1315.949951,8919.599609,161.800003,19561.80078,132.75,224.199997,2530.5,1288.199951,536.700012,869.549988,3130.399902,833.700012,461.75,105.5,1056.400024,2612.600098,745.799988,6577.5,407.700012
5-9-22,3346.550049,850.900024,4282.549805,3424.800049,756.099976,3956.649902,7196.200195,1737.609985,324.75,740.400024,3662.600098,1025.650024,231.600006,3592.75,4214.25,3400.5,1710.75,936,1495.050049,573.650024,2842.050049,429.299988,2600.600098,2456.25,882.450012,328.850006,1108,1461.300049,681.950012,1937.900024,1968.349976,1320.550049,8950.049805,164.5,19259.69922,133.399994,223.399994,2569.800049,1293.400024,538.900024,884.599976,3133.399902,837.450012,459,106.900002,1065.050049,2627.350098,746.849976,6521.950195,405.5
